customer_id,region,signup_date,acquisition_channel,customer_segment
C000001,West,2025-05-22,Referral,Consumer
C000002,West,2026-07-15,Organic Search,Consumer
C000003,Northeast,2025-11-14,Referral,Consumer
C000004,Midwest,2026-04-17,Organic Search,Consumer
C000005,Midwest,2025-04-10,Organic Search,Consumer
C000006,West,2025-12-03,Organic Search,Consumer
C000007,Midwest,2025-10-28,Organic Search,Consumer
C000008,West,2026-02-01,Paid Search,Consumer
C000009,West,2025-10-24,Paid Search,Premium
C000010,,2025-08-19,Paid Social,Small Business
C000011,Midwest,2025-10-24,Paid Social,Consumer
C000012,Northeast,2025-05-19,Email,Consumer
C000013,West,2025-03-19,Referral,Consumer
C000014,Midwest,2025-06-14,Paid Search,Consumer
C000015,West,2025-01-20,Paid Social,Consumer
C000016,Midwest,2025-10-30,Referral,Consumer
C000017,Northeast,2025-05-06,Paid Search,Consumer
C000018,Northeast,2026-04-26,Paid Search,Small Business
C000019,West,2025-01-18,Organic Search,Consumer
C000020,West,2026-04-21,Referral,Consumer
C000021,West,2025-12-18,Paid Social,Consumer
C000022,West,2025-03-02,Email,Small Business
C000023,Northeast,2026-02-23,Paid Social,Consumer
C000024,West,2026-05-22,Referral,Consumer
C000025,Midwest,2025-06-07,Referral,Consumer
C000026,Midwest,2025-03-03,Referral,Consumer
C000027,Midwest,2026-01-06,Paid Social,Consumer
C000028,West,2026-03-26,Email,Small Business
C000029,Midwest,2026-02-17,Paid Search,Consumer
C000030,Midwest,2025-05-07,Paid Search,Consumer
C000031,,2026-03-15,Paid Social,Consumer
C000032,Northeast,2026-04-02,Email,Consumer
C000033,Midwest,2025-08-24,Email,Consumer
C000034,West,2025-10-23,Email,Small Business
C000035,Northeast,2025-05-10,Organic Search,Small Business
C000036,Midwest,2026-02-04,Email,Consumer
C000037,Northeast,2025-12-07,Organic Search,Consumer
C000038,Northeast,2025-03-12,Referral,Consumer
C000039,Midwest,2025-11-08,Paid Social,Consumer
C000040,Northeast,2025-11-24,Paid Search,Consumer
C000041,West,2025-07-10,Paid Social,Consumer
C000042,Northeast,2025-03-11,Paid Social,Consumer
C000043,Midwest,2025-01-27,Referral,Consumer
C000044,Midwest,2025-04-08,Paid Search,Small Business
C000045,West,2026-06-26,Organic Search,Consumer
C000046,Midwest,2025-02-28,Paid Social,Consumer
C000047,Northeast,2025-09-24,Email,Consumer
C000048,Northeast,2025-11-15,Email,Consumer
C000049,Northeast,2026-02-15,Email,Small Business
C000050,Midwest,2025-08-23,Referral,Consumer
C000051,Midwest,2026-06-28,Email,Consumer
C000052,West,2026-03-16,Email,Consumer
C000053,West,2026-05-09,Paid Search,Consumer
C000054,West,2025-02-24,Organic Search,Small Business
C000055,West,2025-08-12,Organic Search,Consumer
C000056,Northeast,2026-01-23,Organic Search,Consumer
C000057,Northeast,2025-02-07,Email,Consumer
C000058,Northeast,2025-06-14,Paid Search,Small Business
C000059,Northeast,2025-06-07,Organic Search,Consumer
C000060,Northeast,2025-03-09,Email,Small Business
C000061,Midwest,2025-02-23,Organic Search,Consumer
C000062,Midwest,2025-08-02,Email,Consumer
C000063,Midwest,2026-03-22,Referral,Consumer
