order_id,warehouse_region,shipping_cost,promised_delivery_date,actual_delivery_date,delivery_status
O0000001,East Hub,5.73,2026-01-04,2026-01-03,On Time
O0000002,Central Hub,6.98,2026-01-04,2026-01-04,On Time
O0000003,Central Hub,16.14,2026-01-05,2026-01-05,On Time
O0000004,East Hub,8.36,2026-01-05,2026-01-05,On Time
O0000005,Central Hub,7.25,2026-01-07,2026-01-07,On Time
O0000006,Central Hub,8.24,2026-01-04,2026-01-04,On Time
O0000007,West Hub,11.02,2026-01-05,2026-01-04,On Time
O0000008,East Hub,10.66,2026-01-06,2026-01-06,On Time
O0000009,West Hub,12.14,2026-01-05,2026-01-04,On Time
O0000010,Central Hub,7.68,2026-01-04,2026-01-04,On Time
O0000011,West Hub,8.61,2026-01-05,2026-01-05,On Time
O0000012,Central Hub,5.98,2026-01-06,2026-01-06,On Time
O0000013,East Hub,11.62,2026-01-06,2026-01-06,On Time
O0000014,East Hub,12.99,2026-01-04,2026-01-03,On Time
O0000015,West Hub,7.44,2026-01-06,2026-01-05,On Time
O0000016,West Hub,9.8,2026-01-06,2026-01-05,On Time
O0000017,East Hub,8.99,2026-01-04,2026-01-03,On Time
O0000018,West Hub,9.58,2026-01-06,2026-01-05,On Time
O0000019,West Hub,9.14,2026-01-04,2026-01-03,On Time
O0000020,West Hub,10.54,2026-01-07,2026-01-10,Late
O0000021,West Hub,8.62,2026-01-04,2026-01-07,Late
O0000022,West Hub,13.92,2026-01-04,2026-01-04,On Time
O0000023,Central Hub,6.15,2026-01-05,2026-01-04,On Time
O0000024,Central Hub,9.04,2026-01-06,2026-01-05,On Time
O0000025,West Hub,9.65,2026-01-06,2026-01-05,On Time
O0000026,Central Hub,12.92,2026-01-07,2026-01-06,On Time
O0000027,Central Hub,10.53,2026-01-04,2026-01-04,On Time
O0000028,West Hub,10.43,2026-01-06,2026-01-06,On Time
O0000029,Central Hub,8.14,2026-01-07,2026-01-07,On Time
O0000030,West Hub,14.7,2026-01-04,2026-01-04,On Time
O0000031,Central Hub,9.01,2026-01-04,2026-01-03,On Time
O0000032,East Hub,7.84,2026-01-04,2026-01-03,On Time
O0000033,West Hub,12.13,2026-01-07,2026-01-07,On Time
O0000034,West Hub,9.93,2026-01-06,2026-01-05,On Time
O0000035,Central Hub,9.23,2026-01-04,2026-01-04,On Time
O0000036,Central Hub,7.65,2026-01-06,2026-01-06,On Time
O0000037,West Hub,12.56,2026-01-05,2026-01-04,On Time
O0000038,East Hub,13.95,2026-01-07,2026-01-07,On Time
O0000039,West Hub,7.31,2026-01-05,2026-01-05,On Time
O0000040,East Hub,11.07,2026-01-04,2026-01-09,Late
O0000041,East Hub,7.56,2026-01-06,2026-01-05,On Time
O0000042,East Hub,7.34,2026-01-06,2026-01-05,On Time
O0000043,Central Hub,9.36,2026-01-04,2026-01-04,On Time
O0000044,East Hub,10.83,2026-01-05,2026-01-04,On Time
O0000045,East Hub,16.53,2026-01-07,2026-01-06,On Time
O0000046,East Hub,6.91,2026-01-08,2026-01-07,On Time
O0000047,East Hub,8.72,2026-01-07,2026-01-07,On Time
O0000048,West Hub,12.71,2026-01-06,2026-01-05,On Time
O0000049,West Hub,8.06,2026-01-05,2026-01-05,On Time
O0000050,Central Hub,14.54,2026-01-06,2026-01-05,On Time
O0000051,East Hub,10.47,2026-01-08,2026-01-07,On Time
O0000052,West Hub,7.78,2026-01-08,2026-01-08,On Time
O0000053,East Hub,9.69,2026-01-06,2026-01-06,On Time
O0000054,East Hub,12.0,2026-01-08,2026-01-07,On Time
O0000055,West Hub,9.09,2026-01-06,2026-01-05,On Time
O0000056,West Hub,9.82,2026-01-05,2026-01-09,Late
O0000057,Central Hub,6.81,2026-01-05,2026-01-04,On Time
O0000058,East Hub,16.94,2026-01-07,2026-01-06,On Time
O0000059,Central Hub,11.02,2026-01-05,2026-01-04,On Time
O0000060,East Hub,7.98,2026-01-05,2026-01-04,On Time
O0000061,Central Hub,14.76,2026-01-05,2026-01-05,On Time
O0000062,Central Hub,8.7,2026-01-06,2026-01-09,Late
O0000063,West Hub,8.29,2026-01-06,2026-01-06,On Time
O0000064,Central Hub,7.4,2026-01-08,2026-01-11,Late
O0000065,Central Hub,6.44,2026-01-07,2026-01-07,On Time
O0000066,Central Hub,17.1,2026-01-06,2026-01-06,On Time
O0000067,West Hub,7.41,2026-01-06,2026-01-05,On Time
O0000068,Central Hub,18.62,2026-01-05,2026-01-04,On Time
O0000069,Central Hub,6.89,2026-01-08,2026-01-08,On Time
O0000070,East Hub,8.35,2026-01-08,2026-01-07,On Time
O0000071,West Hub,10.91,2026-01-08,2026-01-09,Late
O0000072,Central Hub,8.67,2026-01-05,2026-01-07,Late
O0000073,Central Hub,8.47,2026-01-07,2026-01-07,On Time
O0000074,East Hub,19.77,2026-01-05,2026-01-04,On Time
O0000075,East Hub,6.33,2026-01-05,2026-01-05,On Time
O0000076,West Hub,11.49,2026-01-05,2026-01-04,On Time
O0000077,West Hub,13.98,2026-01-07,2026-01-06,On Time
O0000078,East Hub,8.29,2026-01-07,2026-01-07,On Time
O0000079,West Hub,12.17,2026-01-08,2026-01-08,On Time
O0000080,West Hub,15.89,2026-01-06,2026-01-08,Late
O0000081,Central Hub,7.74,2026-01-08,2026-01-08,On Time
O0000082,Central Hub,10.87,2026-01-05,2026-01-04,On Time
O0000083,West Hub,14.05,2026-01-08,2026-01-12,Late
O0000084,West Hub,14.67,2026-01-07,2026-01-07,On Time
O0000085,East Hub,10.91,2026-01-08,2026-01-08,On Time
O0000086,West Hub,17.7,2026-01-07,2026-01-06,On Time
O0000087,East Hub,7.98,2026-01-06,2026-01-05,On Time
O0000088,West Hub,13.4,2026-01-06,2026-01-06,On Time
O0000089,East Hub,10.06,2026-01-06,2026-01-06,On Time
O0000090,West Hub,12.99,2026-01-07,2026-01-06,On Time
O0000091,West Hub,10.1,2026-01-07,2026-01-07,On Time
O0000092,East Hub,7.45,2026-01-07,2026-01-07,On Time
O0000093,Central Hub,7.19,2026-01-06,2026-01-06,On Time
O0000094,West Hub,10.93,2026-01-06,2026-01-06,On Time
O0000095,Central Hub,9.0,2026-01-07,2026-01-06,On Time
O0000096,West Hub,15.56,2026-01-09,2026-01-08,On Time
O0000097,Central Hub,7.32,2026-01-08,2026-01-07,On Time
O0000098,East Hub,8.91,2026-01-07,2026-01-06,On Time
O0000099,Central Hub,6.69,2026-01-08,2026-01-08,On Time
O0000100,East Hub,8.32,2026-01-09,2026-01-09,On Time
O0000101,East Hub,7.44,2026-01-07,2026-01-07,On Time
O0000102,West Hub,9.32,2026-01-07,2026-01-06,On Time
O0000103,West Hub,10.52,2026-01-09,2026-01-08,On Time
O0000104,East Hub,8.09,2026-01-07,2026-01-07,On Time
O0000105,Central Hub,6.85,2026-01-06,2026-01-06,On Time
O0000106,Central Hub,10.09,2026-01-08,2026-01-07,On Time
O0000107,Central Hub,14.68,2026-01-09,2026-01-09,On Time
O0000108,Central Hub,9.06,2026-01-06,2026-01-06,On Time
O0000109,West Hub,9.66,2026-01-07,2026-01-06,On Time
O0000110,Central Hub,8.77,2026-01-08,2026-01-08,On Time
O0000111,Central Hub,8.97,2026-01-08,2026-01-07,On Time
O0000112,West Hub,14.61,2026-01-08,2026-01-08,On Time
O0000113,West Hub,10.36,2026-01-08,2026-01-07,On Time
O0000114,Central Hub,8.63,2026-01-08,2026-01-07,On Time
O0000115,Central Hub,8.55,2026-01-09,2026-01-08,On Time
O0000116,Central Hub,11.82,2026-01-08,2026-01-07,On Time
O0000117,East Hub,8.79,2026-01-07,2026-01-07,On Time
O0000118,Central Hub,7.79,2026-01-08,2026-01-07,On Time
O0000119,East Hub,13.53,2026-01-09,2026-01-09,On Time
O0000120,Central Hub,12.63,2026-01-09,2026-01-08,On Time
O0000121,West Hub,8.71,2026-01-08,2026-01-08,On Time
O0000122,Central Hub,9.17,2026-01-06,2026-01-06,On Time
O0000123,West Hub,16.09,2026-01-09,2026-01-08,On Time
O0000124,West Hub,10.83,2026-01-07,2026-01-07,On Time
