order_item_id,order_id,product_id,quantity,unit_price,discount_amount
OI00000001,O0000001,P0047,1,68.55,11.9
OI00000002,O0000002,P0029,1,297.79,0.0
OI00000003,O0000003,P0043,1,46.4,0.0
OI00000004,O0000003,P0006,1,127.95,0.0
OI00000005,O0000003,P0011,1,139.48,0.0
OI00000006,O0000003,P0038,1,262.37,0.0
OI00000007,O0000003,P0019,1,688.2,0.0
OI00000008,O0000004,P0035,1,290.57,0.0
OI00000009,O0000005,P0046,1,18.67,0.85
OI00000010,O0000006,P0018,1,373.97,0.0
OI00000011,O0000007,P0019,1,683.03,0.0
OI00000012,O0000007,P0039,1,330.55,0.0
OI00000013,O0000008,P0042,1,133.17,0.0
OI00000014,O0000008,P0001,1,146.3,0.0
OI00000015,O0000009,P0038,1,273.28,0.0
OI00000016,O0000010,P0005,1,65.92,0.0
OI00000017,O0000010,P0008,1,86.58,0.0
OI00000018,O0000011,P0042,1,133.77,0.0
OI00000019,O0000012,P0026,1,84.73,0.0
OI00000020,O0000013,P0042,1,128.99,0.0
OI00000021,O0000013,P0008,2,85.55,0.0
OI00000022,O0000014,P0026,1,84.27,0.0
OI00000023,O0000014,P0050,1,14.17,0.0
OI00000024,O0000014,P0009,1,113.37,0.0
OI00000025,O0000015,P0041,1,30.09,0.0
OI00000026,O0000016,P0023,1,123.55,0.0
OI00000027,O0000016,P0046,1,19.39,0.0
OI00000028,O0000017,P0030,1,258.49,34.94
OI00000029,O0000017,P0049,1,139.06,15.28
OI00000030,O0000018,P0029,1,299.68,0.0
OI00000031,O0000019,P0019,1,681.04,0.0
OI00000032,O0000019,P0048,1,91.12,0.0
OI00000033,O0000020,P0055,1,150.45,0.0
OI00000034,O0000021,P0058,1,49.96,0.0
OI00000035,O0000022,P0022,1,334.5,15.25
OI00000036,O0000022,P0003,2,81.99,24.98
OI00000037,O0000023,P0003,1,81.21,0.0
OI00000038,O0000024,P0057,1,160.82,28.01
OI00000039,O0000024,P0022,1,344.72,60.69
OI00000040,O0000025,P0032,1,419.9,0.0
OI00000041,O0000026,P0042,1,127.6,0.0
OI00000042,O0000026,P0027,1,643.18,0.0
OI00000043,O0000026,P0052,1,420.99,0.0
OI00000044,O0000027,P0032,1,412.97,0.0
OI00000045,O0000027,P0042,1,129.02,0.0
OI00000046,O0000028,P0058,1,50.46,7.93
OI00000047,O0000028,P0042,1,128.11,6.6
OI00000048,O0000029,P0034,1,421.1,0.0
OI00000049,O0000030,P0007,1,110.6,0.0
OI00000050,O0000030,P0059,2,62.12,0.0
OI00000051,O0000031,P0015,1,63.13,0.0
OI00000052,O0000031,P0005,1,67.91,0.0
OI00000053,O0000032,P0011,1,137.35,0.0
OI00000054,O0000032,P0012,1,29.41,0.0
OI00000055,O0000033,P0039,1,326.23,0.0
OI00000056,O0000034,P0034,1,414.26,0.0
OI00000057,O0000034,P0015,1,60.43,0.0
OI00000058,O0000035,P0016,1,122.76,0.0
OI00000059,O0000035,P0045,1,146.49,0.0
OI00000060,O0000036,P0052,1,398.91,69.52
OI00000061,O0000037,P0056,1,383.23,0.0
OI00000062,O0000038,P0043,1,44.73,5.42
OI00000063,O0000038,P0006,2,123.81,35.34
OI00000064,O0000039,P0013,1,100.4,0.0
OI00000065,O0000040,P0057,1,159.32,0.0
OI00000066,O0000041,P0032,1,400.07,0.0
OI00000067,O0000042,P0038,1,264.96,0.0
OI00000068,O0000043,P0040,1,491.68,0.0
OI00000069,O0000043,P0013,1,102.07,0.0
OI00000070,O0000044,P0032,1,421.2,27.2
OI00000071,O0000045,P0038,2,272.07,0.0
OI00000072,O0000045,P0022,1,344.21,0.0
OI00000073,O0000045,P0010,1,162.89,0.0
OI00000074,O0000046,P0023,1,123.36,0.0
OI00000075,O0000047,P0054,1,138.83,0.0
OI00000076,O0000048,P0056,1,380.57,0.0
OI00000077,O0000048,P0007,1,110.6,0.0
OI00000078,O0000049,P0009,1,113.13,0.0
OI00000079,O0000049,P0015,1,62.78,0.0
OI00000080,O0000050,P0003,1,79.9,0.0
OI00000081,O0000050,P0056,1,376.11,0.0
OI00000082,O0000050,P0020,1,664.49,0.0
OI00000083,O0000051,P0034,1,427.23,0.0
OI00000084,O0000052,P0007,1,111.34,0.0
OI00000085,O0000053,P0045,1,150.67,22.09
OI00000086,O0000053,P0044,1,54.02,4.17
OI00000087,O0000054,P0033,1,423.04,0.0
OI00000088,O0000054,P0050,1,14.36,0.0
OI00000089,O0000055,P0029,1,287.79,0.0
OI00000090,O0000055,P0030,1,260.73,0.0
OI00000091,O0000056,P0027,1,641.83,0.0
OI00000092,O0000057,P0019,1,687.98,0.0
OI00000093,O0000058,P0057,2,164.92,0.0
OI00000094,O0000059,P0038,1,261.66,0.0
OI00000095,O0000059,P0034,1,425.12,0.0
OI00000096,O0000059,P0043,1,45.18,0.0
OI00000097,O0000060,P0043,1,45.39,0.0
OI00000098,O0000061,P0056,2,364.05,0.0
OI00000099,O0000061,P0035,1,277.54,0.0
OI00000100,O0000061,P0007,1,112.0,0.0
OI00000101,O0000062,P0041,1,30.04,0.0
OI00000102,O0000063,P0038,1,275.33,12.78
OI00000103,O0000064,P0005,1,66.4,4.58
OI00000104,O0000065,P0004,1,77.46,0.0
OI00000105,O0000066,P0038,1,266.38,0.0
OI00000106,O0000066,P0040,1,493.03,0.0
OI00000107,O0000066,P0005,1,66.46,0.0
OI00000108,O0000066,P0057,1,159.69,0.0
OI00000109,O0000067,P0012,1,28.54,0.0
OI00000110,O0000068,P0060,1,437.44,0.0
OI00000111,O0000068,P0026,2,86.53,0.0
OI00000112,O0000068,P0057,2,157.63,0.0
OI00000113,O0000069,P0010,1,163.83,0.0
OI00000114,O0000070,P0006,1,124.79,0.0
OI00000115,O0000070,P0013,1,99.18,0.0
OI00000116,O0000071,P0045,1,148.96,0.0
OI00000117,O0000071,P0029,1,289.52,0.0
OI00000118,O0000072,P0002,1,81.82,0.0
OI00000119,O0000072,P0036,1,191.53,0.0
OI00000120,O0000073,P0011,1,139.55,0.0
OI00000121,O0000073,P0036,1,189.45,0.0
OI00000122,O0000074,P0057,1,159.63,7.94
OI00000123,O0000074,P0010,1,159.87,24.33
OI00000124,O0000074,P0058,2,52.1,12.96
OI00000125,O0000075,P0028,1,315.42,0.0
OI00000126,O0000076,P0017,2,158.43,0.0
OI00000127,O0000077,P0059,1,61.15,0.0
OI00000128,O0000077,P0010,1,157.33,0.0
OI00000129,O0000078,P0011,2,137.01,0.0
OI00000130,O0000078,P0006,1,128.3,0.0
OI00000131,O0000079,P0039,1,326.83,0.0
OI00000132,O0000079,P0001,1,141.91,0.0
OI00000133,O0000080,P0051,1,77.3,0.0
OI00000134,O0000080,P0046,1,18.67,0.0
OI00000135,O0000080,P0024,2,801.18,0.0
OI00000136,O0000080,P0032,1,399.02,0.0
OI00000137,O0000081,P0031,1,28.85,0.0
OI00000138,O0000082,P0056,1,365.95,0.0
OI00000139,O0000082,P0001,2,143.23,0.0
OI00000140,O0000083,P0021,2,83.28,0.0
OI00000141,O0000083,P0005,1,68.44,0.0
OI00000142,O0000084,P0038,1,274.09,0.0
OI00000143,O0000084,P0029,1,292.24,0.0
OI00000144,O0000085,P0038,1,263.56,16.04
OI00000145,O0000085,P0024,1,778.79,91.96
OI00000146,O0000086,P0056,2,384.69,66.21
OI00000147,O0000086,P0003,1,83.49,12.63
OI00000148,O0000087,P0049,1,143.85,0.0
OI00000149,O0000088,P0010,1,162.14,0.0
OI00000150,O0000088,P0040,1,467.11,0.0
OI00000151,O0000088,P0043,1,46.88,0.0
OI00000152,O0000089,P0057,1,159.46,0.0
OI00000153,O0000090,P0003,1,81.29,0.0
OI00000154,O0000090,P0048,1,94.61,0.0
OI00000155,O0000090,P0027,1,618.39,0.0
OI00000156,O0000091,P0009,1,113.76,18.56
OI00000157,O0000091,P0045,1,147.82,16.35
OI00000158,O0000092,P0048,1,94.43,0.0
OI00000159,O0000093,P0023,1,118.51,16.32
OI00000160,O0000094,P0024,1,777.96,0.0
OI00000161,O0000095,P0029,1,286.79,0.0
OI00000162,O0000096,P0054,2,135.54,0.0
OI00000163,O0000096,P0003,1,83.43,0.0
OI00000164,O0000097,P0041,1,30.06,0.0
OI00000165,O0000097,P0006,1,121.66,0.0
OI00000166,O0000098,P0059,1,62.27,0.0
OI00000167,O0000099,P0003,1,79.42,0.0
OI00000168,O0000100,P0048,1,92.21,0.0
OI00000169,O0000101,P0055,1,150.19,0.0
OI00000170,O0000102,P0013,1,103.66,14.71
OI00000171,O0000103,P0033,1,419.95,0.0
OI00000172,O0000104,P0027,1,636.52,103.49
OI00000173,O0000105,P0023,1,121.85,0.0
OI00000174,O0000106,P0013,1,102.18,0.0
OI00000175,O0000106,P0005,1,65.07,0.0
OI00000176,O0000107,P0054,1,135.51,16.65
OI00000177,O0000107,P0043,1,46.16,7.28
OI00000178,O0000107,P0003,1,82.08,14.19
OI00000179,O0000108,P0049,1,139.18,0.0
OI00000180,O0000108,P0038,1,275.02,0.0
OI00000181,O0000109,P0033,1,439.68,44.23
OI00000182,O0000110,P0022,1,339.92,0.0
OI00000183,O0000111,P0001,1,142.29,0.0
OI00000184,O0000112,P0060,2,434.48,0.0
OI00000185,O0000112,P0038,1,266.29,0.0
OI00000186,O0000112,P0057,1,163.42,0.0
OI00000187,O0000113,P0045,1,148.85,0.0
OI00000188,O0000113,P0010,1,163.12,0.0
OI00000189,O0000113,P0009,1,112.85,0.0
OI00000190,O0000114,P0034,1,425.86,0.0
OI00000191,O0000115,P0042,1,133.27,0.0
OI00000192,O0000116,P0040,1,477.33,0.0
OI00000193,O0000116,P0051,1,73.54,0.0
OI00000194,O0000117,P0002,1,80.26,13.65
OI00000195,O0000117,P0016,1,120.83,10.43
OI00000196,O0000118,P0054,1,140.66,0.0
OI00000197,O0000119,P0003,1,82.36,0.0
OI00000198,O0000119,P0057,1,159.38,0.0
OI00000199,O0000120,P0020,1,666.76,50.92
OI00000200,O0000120,P0004,1,75.09,12.38
OI00000201,O0000120,P0024,1,784.63,126.91
OI00000202,O0000120,P0031,1,27.77,4.11
OI00000203,O0000121,P0042,1,133.6,0.0
OI00000204,O0000122,P0019,1,677.83,0.0
OI00000205,O0000122,P0047,2,71.18,0.0
OI00000206,O0000123,P0053,1,523.05,0.0
OI00000207,O0000123,P0027,1,647.41,0.0
OI00000208,O0000123,P0026,1,84.38,0.0
OI00000209,O0000124,P0015,1,60.82,3.18
OI00000210,O0000124,P0007,1,110.03,4.6
OI00000211,O0000125,P0032,1,403.92,0.0
OI00000212,O0000125,P0021,2,85.58,0.0
OI00000213,O0000126,P0004,1,74.59,0.0
OI00000214,O0000127,P0020,1,668.16,0.0
OI00000215,O0000128,P0002,1,79.44,0.0
OI00000216,O0000128,P0055,2,145.77,0.0
OI00000217,O0000129,P0030,1,256.15,33.23
OI00000218,O0000130,P0032,1,408.67,40.94
OI00000219,O0000131,P0056,1,374.65,0.0
OI00000220,O0000132,P0022,1,331.11,0.0
OI00000221,O0000132,P0024,2,812.73,0.0
OI00000222,O0000132,P0001,1,148.97,0.0
OI00000223,O0000133,P0038,1,272.86,14.72
OI00000224,O0000134,P0023,2,119.42,0.0
OI00000225,O0000134,P0045,1,150.57,0.0
OI00000226,O0000135,P0045,1,152.93,0.0
OI00000227,O0000135,P0046,2,19.54,0.0
OI00000228,O0000136,P0038,1,276.2,0.0
OI00000229,O0000137,P0048,1,95.2,0.0
OI00000230,O0000138,P0010,1,161.62,0.0
OI00000231,O0000138,P0002,1,82.77,0.0
OI00000232,O0000139,P0005,1,67.99,6.29
OI00000233,O0000140,P0055,2,145.11,0.0
OI00000234,O0000141,P0038,1,272.19,0.0
OI00000235,O0000141,P0011,1,141.18,0.0
OI00000236,O0000141,P0026,2,85.63,0.0
OI00000237,O0000142,P0032,2,398.77,0.0
OI00000238,O0000143,P0020,1,677.61,0.0
OI00000239,O0000144,P0038,2,274.09,0.0
OI00000240,O0000144,P0049,1,142.29,0.0
OI00000241,O0000145,P0003,1,82.7,0.0
OI00000242,O0000146,P0020,1,671.26,0.0
OI00000243,O0000147,P0050,1,14.4,0.0
OI00000244,O0000148,P0021,1,81.33,0.0
