order_id,customer_id,order_date,promotion_id,order_status,shipping_revenue
O0000001,C001138,2026-01-01,PROMO_BASE,Completed,6.99
O0000002,C000305,2026-01-01,,Completed,6.99
O0000003,C000212,2026-01-01,,Completed,6.99
O0000004,C001120,2026-01-01,,Completed,0.0
O0000005,C000123,2026-01-01,PROMO_BASE,Completed,6.99
O0000006,C000212,2026-01-01,,Completed,9.99
O0000007,C001891,2026-01-01,,Completed,4.99
O0000008,C001223,2026-01-01,,Completed,0.0
O0000009,C000215,2026-01-01,,Completed,0.0
O0000010,C002273,2026-01-01,,Completed,4.99
O0000011,C000290,2026-01-01,,Completed,6.99
O0000012,C002100,2026-01-01,,Completed,0.0
O0000013,C000151,2026-01-01,,Completed,0.0
O0000014,C001987,2026-01-01,,Completed,0.0
O0000015,C000910,2026-01-01,,Completed,0.0
O0000016,C000435,2026-01-01,,Completed,0.0
O0000017,C002168,2026-01-01,PROMO_BASE,Completed,9.99
O0000018,C001017,2026-01-01,,Completed,0.0
O0000019,C001706,2026-01-01,,Completed,0.0
O0000020,C000257,2026-01-01,,Completed,0.0
O0000021,C002159,2026-01-01,,Completed,0.0
O0000022,C001027,2026-01-01,PROMO_BASE,Completed,0.0
O0000023,C000243,2026-01-01,,Completed,0.0
O0000024,C001331,2026-01-01,PROMO_BASE,Completed,4.99
O0000025,C002490,2026-01-01,,Completed,0.0
O0000026,C002007,2026-01-01,,Completed,9.99
O0000027,C000332,2026-01-01,,Completed,0.0
O0000028,C001500,2026-01-01,PROMO_BASE,Completed,0.0
O0000029,C001045,2026-01-01,,Completed,4.99
O0000030,C002481,2026-01-01,,Completed,0.0
O0000031,C000305,2026-01-01,,Completed,0.0
O0000032,C000589,2026-01-01,,Completed,0.0
O0000033,C000349,2026-01-01,,Completed,6.99
O0000034,C002325,2026-01-01,,Completed,0.0
O0000035,C000869,2026-01-01,,Completed,0.0
O0000036,C002098,2026-01-01,PROMO_BASE,Completed,0.0
O0000037,C002268,2026-01-01,,Completed,4.99
O0000038,C001824,2026-01-01,PROMO_BASE,Completed,0.0
O0000039,C002002,2026-01-01,,Completed,4.99
O0000040,C000534,2026-01-01,,Completed,0.0
O0000041,C002310,2026-01-01,,Completed,0.0
O0000042,C000151,2026-01-01,,Completed,0.0
O0000043,C000921,2026-01-01,,Completed,4.99
O0000044,C000786,2026-01-01,PROMO_BASE,Completed,0.0
O0000045,C002189,2026-01-02,,Completed,0.0
O0000046,C001179,2026-01-02,,Completed,0.0
O0000047,C002435,2026-01-02,,Completed,0.0
O0000048,C001610,2026-01-02,,Completed,9.99
O0000049,C002002,2026-01-02,,Completed,9.99
O0000050,C002052,2026-01-02,,Completed,0.0
O0000051,C001463,2026-01-02,,Completed,4.99
O0000052,C001981,2026-01-02,,Completed,0.0
O0000053,C001453,2026-01-02,PROMO_BASE,Completed,0.0
O0000054,C001258,2026-01-02,,Completed,4.99
O0000055,C000149,2026-01-02,,Completed,0.0
O0000056,C002201,2026-01-02,,Completed,9.99
O0000057,C000974,2026-01-02,,Completed,0.0
O0000058,C002348,2026-01-02,,Completed,0.0
O0000059,C000503,2026-01-02,,Completed,0.0
O0000060,C000213,2026-01-02,,Completed,6.99
O0000061,C000521,2026-01-02,,Completed,0.0
O0000062,C002400,2026-01-02,,Completed,0.0
O0000063,C001437,2026-01-02,PROMO_BASE,Completed,6.99
O0000064,C000362,2026-01-02,PROMO_BASE,Completed,4.99
O0000065,C002110,2026-01-02,,Completed,4.99
O0000066,C000633,2026-01-02,,Completed,0.0
O0000067,C001440,2026-01-02,,Completed,0.0
O0000068,C000727,2026-01-02,,Completed,0.0
O0000069,C001464,2026-01-02,,Completed,0.0
O0000070,C002350,2026-01-02,,Completed,9.99
O0000071,C001373,2026-01-02,,Completed,9.99
O0000072,C002074,2026-01-02,,Completed,4.99
O0000073,C001136,2026-01-02,,Completed,6.99
O0000074,C000589,2026-01-02,PROMO_BASE,Completed,0.0
O0000075,C001475,2026-01-02,,Completed,4.99
O0000076,C002064,2026-01-02,,Completed,4.99
O0000077,C000753,2026-01-02,,Completed,6.99
O0000078,C000943,2026-01-02,,Completed,4.99
O0000079,C002342,2026-01-02,,Completed,0.0
O0000080,C001137,2026-01-02,,Completed,0.0
