product_id,product_name,category,subcategory,standard_cost,list_price
P0001,Apparel Product 01,Apparel,Apparel Line 1,73.51,145.38
P0002,Apparel Product 02,Apparel,Apparel Line 2,39.31,81.4
P0003,Apparel Product 03,Apparel,Apparel Line 3,34.57,81.54
P0004,Apparel Product 04,Apparel,Apparel Line 4,27.07,76.36
P0005,Apparel Product 05,Apparel,Apparel Line 1,32.54,66.92
P0006,Apparel Product 06,Apparel,Apparel Line 2,49.8,124.92
P0007,Apparel Product 07,Apparel,Apparel Line 3,57.44,110.63
P0008,Apparel Product 08,Apparel,Apparel Line 4,42.25,87.43
P0009,Apparel Product 09,Apparel,Apparel Line 1,58.26,111.09
P0010,Apparel Product 10,Apparel,Apparel Line 2,70.02,160.47
P0011,Apparel Product 11,Apparel,Apparel Line 3,60.5,140.46
P0012,Apparel Product 12,Apparel,Apparel Line 4,11.37,28.88
P0013,Apparel Product 13,Apparel,Apparel Line 1,49.53,101.08
P0014,Apparel Product 14,Apparel,Apparel Line 2,57.45,134.68
P0015,Apparel Product 15,Apparel,Apparel Line 3,28.26,61.74
P0016,Apparel Product 16,Apparel,Apparel Line 4,69.33,123.72
P0017,Apparel Product 17,Apparel,Apparel Line 1,81.85,155.11
P0018,Electronics Product 01,Electronics,Electronics Line 1,245.46,367.52
P0019,Electronics Product 02,Electronics,Electronics Line 2,501.55,671.03
P0020,Electronics Product 03,Electronics,Electronics Line 3,472.01,678.85
P0021,Electronics Product 04,Electronics,Electronics Line 4,62.93,83.09
P0022,Electronics Product 05,Electronics,Electronics Line 1,262.16,338.23
P0023,Electronics Product 06,Electronics,Electronics Line 2,86.33,121.6
P0024,Electronics Product 07,Electronics,Electronics Line 3,600.33,789.3
P0025,Electronics Product 08,Electronics,Electronics Line 4,408.43,619.16
P0026,Electronics Product 09,Electronics,Electronics Line 1,62.23,84.13
P0027,Electronics Product 10,Electronics,Electronics Line 2,407.39,636.7
P0028,Electronics Product 11,Electronics,Electronics Line 3,198.51,318.93
P0029,Home Product 01,Home,Home Line 1,158.25,291.95
P0030,Home Product 02,Home,Home Line 2,138.63,254.17
P0031,Home Product 03,Home,Home Line 3,20.04,28.19
P0032,Home Product 04,Home,Home Line 4,227.76,409.9
P0033,Home Product 05,Home,Home Line 1,262.36,430.9
P0034,Home Product 06,Home,Home Line 2,285.38,424.01
P0035,Home Product 07,Home,Home Line 3,163.04,285.72
P0036,Home Product 08,Home,Home Line 4,113.78,191.67
P0037,Home Product 09,Home,Home Line 1,36.95,65.23
P0038,Home Product 10,Home,Home Line 2,170.87,268.25
P0039,Home Product 11,Home,Home Line 3,190.15,321.82
P0040,Home Product 12,Home,Home Line 4,244.25,479.61
P0041,Beauty Product 01,Beauty,Beauty Line 1,11.4,30.92
P0042,Beauty Product 02,Beauty,Beauty Line 2,60.97,131.15
P0043,Beauty Product 03,Beauty,Beauty Line 3,17.12,45.66
P0044,Beauty Product 04,Beauty,Beauty Line 4,21.99,53.71
P0045,Beauty Product 05,Beauty,Beauty Line 1,59.53,149.92
P0046,Beauty Product 06,Beauty,Beauty Line 2,9.6,19.18
P0047,Beauty Product 07,Beauty,Beauty Line 3,28.85,69.99
P0048,Beauty Product 08,Beauty,Beauty Line 4,44.41,92.57
P0049,Beauty Product 09,Beauty,Beauty Line 1,48.6,142.55
P0050,Beauty Product 10,Beauty,Beauty Line 2,5.48,14.23
P0051,Outdoor Product 01,Outdoor,Outdoor Line 1,42.53,75.29
P0052,Outdoor Product 02,Outdoor,Outdoor Line 2,206.18,410.86
P0053,Outdoor Product 03,Outdoor,Outdoor Line 3,296.19,537.78
P0054,Outdoor Product 04,Outdoor,Outdoor Line 4,75.38,137.06
P0055,Outdoor Product 05,Outdoor,Outdoor Line 1,95.39,146.88
P0056,Outdoor Product 06,Outdoor,Outdoor Line 2,195.54,373.5
P0057,Outdoor Product 07,Outdoor,Outdoor Line 3,85.68,161.8
P0058,Outdoor Product 08,Outdoor,Outdoor Line 4,27.71,51.26
P0059,Outdoor Product 09,Outdoor,Outdoor Line 1,33.4,62.0
P0060,Outdoor Product 10,Outdoor,Outdoor Line 2,206.52,447.42
