return_id,order_item_id,return_date,return_quantity,return_amount,return_reason
R0000001,OI00000016,2026-01-17,1,65.92,
R0000002,OI00000019,2026-01-28,1,84.73,Changed Mind
R0000003,OI00000031,2026-01-12,1,681.04,
R0000004,OI00000053,2026-01-30,1,137.35,Size or Fit
R0000005,OI00000055,2026-01-09,1,326.23,Damaged
R0000006,OI00000064,2026-01-17,1,100.4,Arrived Late
R0000007,OI00000091,2026-01-09,1,641.83,Arrived Late
R0000008,OI00000109,2026-01-13,1,28.54,Wrong Item
R0000009,OI00000110,2026-01-22,1,437.44,Changed Mind
R0000010,OI00000117,2026-02-04,1,289.52,Not as Described
R0000011,OI00000120,2026-02-02,1,139.55,Size or Fit
R0000012,OI00000126,2026-01-07,1,158.43,Wrong Item
R0000013,OI00000127,2026-02-06,1,61.15,Damaged
R0000014,OI00000128,2026-02-12,1,157.33,Changed Mind
R0000015,OI00000141,2026-01-15,1,68.44,
R0000016,OI00000142,2026-02-02,1,274.09,Changed Mind
R0000017,OI00000153,2026-01-16,1,81.29,Size or Fit
R0000018,OI00000180,2026-01-09,1,275.02,Size or Fit
R0000019,OI00000187,2026-01-27,1,148.85,Arrived Late
R0000020,OI00000188,2026-01-10,1,163.12,
R0000021,OI00000191,2026-01-23,1,133.27,Damaged
R0000022,OI00000200,2026-01-11,1,62.71,
R0000023,OI00000202,2026-01-16,1,23.66,Changed Mind
R0000024,OI00000216,2026-02-14,2,291.54,
R0000025,OI00000223,2026-01-11,1,258.14,Size or Fit
R0000026,OI00000232,2026-02-06,1,61.7,Damaged
R0000027,OI00000241,2026-02-04,1,82.7,Changed Mind
R0000028,OI00000244,2026-02-12,1,81.33,Arrived Late
R0000029,OI00000250,2026-01-19,1,417.18,Damaged
R0000030,OI00000264,2026-01-11,1,279.66,Damaged
R0000031,OI00000265,2026-02-04,1,143.79,Size or Fit
R0000032,OI00000281,2026-01-30,1,83.56,Arrived Late
R0000033,OI00000292,2026-02-01,1,143.46,Wrong Item
R0000034,OI00000295,2026-02-02,1,674.98,Wrong Item
R0000035,OI00000311,2026-01-28,1,28.61,Changed Mind
R0000036,OI00000313,2026-01-22,1,295.47,Arrived Late
R0000037,OI00000319,2026-01-29,1,79.56,
R0000038,OI00000325,2026-02-16,1,692.74,Size or Fit
R0000039,OI00000335,2026-01-28,1,434.46,Damaged
R0000040,OI00000343,2026-01-17,1,114.17,Changed Mind
R0000041,OI00000348,2026-01-24,1,136.91,Changed Mind
R0000042,OI00000358,2026-01-26,1,117.7,Size or Fit
R0000043,OI00000360,2026-02-01,1,657.29,Changed Mind
R0000044,OI00000379,2026-02-06,2,57.06,
R0000045,OI00000381,2026-02-19,1,77.71,Arrived Late
R0000046,OI00000390,2026-02-04,1,121.71,Size or Fit
R0000047,OI00000393,2026-01-14,1,270.45,
R0000048,OI00000410,2026-01-17,1,13.37,Arrived Late
R0000049,OI00000414,2026-02-08,1,80.77,Not as Described
R0000050,OI00000432,2026-02-10,1,289.85,Damaged
R0000051,OI00000439,2026-02-12,1,66.51,Wrong Item
R0000052,OI00000447,2026-01-27,1,74.46,Damaged
R0000053,OI00000465,2026-02-18,1,330.93,Not as Described
R0000054,OI00000470,2026-01-15,1,375.01,Damaged
R0000055,OI00000490,2026-02-18,1,291.53,Changed Mind
R0000056,OI00000492,2026-01-30,1,137.93,Arrived Late
R0000057,OI00000493,2026-01-29,1,120.59,Size or Fit
R0000058,OI00000500,2026-01-25,1,158.16,Not as Described
R0000059,OI00000501,2026-02-05,1,101.97,Changed Mind
R0000060,OI00000533,2026-01-29,1,145.18,Size or Fit
R0000061,OI00000539,2026-02-17,1,117.35,Changed Mind
R0000062,OI00000551,2026-02-12,1,412.64,Not as Described
R0000063,OI00000555,2026-02-11,1,120.37,Not as Described
R0000064,OI00000557,2026-02-13,1,83.51,
R0000065,OI00000567,2026-01-24,1,599.09,Not as Described
R0000066,OI00000592,2026-01-17,1,82.92,Wrong Item
R0000067,OI00000604,2026-02-16,1,120.91,Wrong Item
R0000068,OI00000606,2026-02-12,1,83.89,
R0000069,OI00000619,2026-01-22,1,125.33,Changed Mind
R0000070,OI00000622,2026-01-21,1,234.89,Wrong Item
R0000071,OI00000629,2026-02-08,1,131.4,Not as Described
R0000072,OI00000631,2026-01-27,1,270.07,
R0000073,OI00000636,2026-02-22,1,135.52,Not as Described
R0000074,OI00000638,2026-02-16,1,418.99,Not as Described
R0000075,OI00000639,2026-02-01,1,135.64,Arrived Late
R0000076,OI00000640,2026-02-04,1,126.66,Changed Mind
R0000077,OI00000641,2026-02-09,1,539.16,Damaged
R0000078,OI00000652,2026-01-16,1,264.39,Changed Mind
R0000079,OI00000660,2026-01-27,1,124.38,Size or Fit
R0000080,OI00000668,2026-02-21,1,144.36,Changed Mind
R0000081,OI00000671,2026-01-28,1,253.56,Damaged
R0000082,OI00000678,2026-02-20,2,158.7,Damaged
R0000083,OI00000685,2026-01-22,1,63.16,Damaged
R0000084,OI00000686,2026-01-18,1,357.38,Size or Fit
R0000085,OI00000687,2026-01-23,1,142.76,Wrong Item
R0000086,OI00000692,2026-01-19,1,133.29,Arrived Late
R0000087,OI00000699,2026-02-07,1,255.93,Damaged
R0000088,OI00000702,2026-02-10,1,75.52,Changed Mind
R0000089,OI00000703,2026-01-25,1,226.89,Changed Mind
R0000090,OI00000747,2026-01-31,1,52.35,
R0000091,OI00000751,2026-01-23,2,38.92,Damaged
R0000092,OI00000767,2026-01-22,1,67.47,Size or Fit
R0000093,OI00000773,2026-01-31,1,365.26,Changed Mind
R0000094,OI00000776,2026-02-03,1,76.32,Size or Fit
R0000095,OI00000778,2026-02-01,1,79.41,
R0000096,OI00000782,2026-01-26,1,68.88,Wrong Item
R0000097,OI00000783,2026-02-08,1,189.54,Changed Mind
R0000098,OI00000830,2026-01-31,1,14.19,Wrong Item
R0000099,OI00000831,2026-01-27,1,83.31,
R0000100,OI00000846,2026-02-05,1,133.93,Changed Mind
R0000101,OI00000848,2026-01-16,1,80.28,Wrong Item
R0000102,OI00000849,2026-02-20,1,150.52,Size or Fit
R0000103,OI00000850,2026-01-20,1,121.23,Damaged
R0000104,OI00000870,2026-02-09,1,267.98,Size or Fit
R0000105,OI00000883,2026-01-19,1,679.04,Size or Fit
R0000106,OI00000885,2026-02-14,1,66.98,Changed Mind
R0000107,OI00000887,2026-02-17,1,66.82,Size or Fit
R0000108,OI00000893,2026-01-23,1,105.17,Not as Described
R0000109,OI00000940,2026-01-25,1,267.01,Changed Mind
R0000110,OI00000942,2026-01-26,1,113.03,Size or Fit
R0000111,OI00000947,2026-01-26,1,397.82,Changed Mind
R0000112,OI00000958,2026-01-28,1,618.58,
R0000113,OI00000962,2026-02-13,1,420.77,Not as Described
R0000114,OI00000970,2026-02-10,1,247.11,Size or Fit
R0000115,OI00000974,2026-01-23,1,275.83,Changed Mind
R0000116,OI00000975,2026-02-19,1,111.6,Damaged
R0000117,OI00000976,2026-02-08,1,12.0,
R0000118,OI00000984,2026-02-21,1,149.28,
R0000119,OI00000986,2026-02-15,1,148.71,Wrong Item
R0000120,OI00000995,2026-01-24,1,81.78,Changed Mind
R0000121,OI00001006,2026-02-13,1,80.6,Size or Fit
R0000122,OI00001013,2026-02-11,1,121.39,
R0000123,OI00001023,2026-02-12,2,244.26,Damaged
R0000124,OI00001031,2026-02-18,1,23.79,Size or Fit
R0000125,OI00001049,2026-02-20,2,130.08,Damaged
R0000126,OI00001055,2026-02-02,1,311.72,Damaged
R0000127,OI00001062,2026-02-03,1,682.3,Changed Mind
R0000128,OI00001070,2026-01-18,1,82.7,Size or Fit
R0000129,OI00001073,2026-02-16,1,336.94,
R0000130,OI00001078,2026-02-25,1,652.45,Not as Described
R0000131,OI00001085,2026-02-10,1,265.28,
R0000132,OI00001086,2026-01-19,1,67.71,Not as Described
R0000133,OI00001101,2026-02-15,1,80.68,Wrong Item
R0000134,OI00001106,2026-02-25,1,111.87,Size or Fit
R0000135,OI00001112,2026-02-24,1,30.61,
R0000136,OI00001125,2026-02-15,1,145.93,
R0000137,OI00001126,2026-02-16,1,409.14,Size or Fit
